,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Hearst,CA,49.6835,-83.6665,-1.86,90,85,5.02,overcast clouds
230,Narsaq,GL,60.9167,-46.05,-2.56,94,99,2.01,light snow
231,Mangan,IN,27.5167,88.5333,27.69,40,75,2.94,broken clouds
232,Sagua La Grande,CU,22.8067,-80.0756,23.28,87,0,3.07,light rain
233,Wuhu,CN,31.3366,118.3755,17.16,53,100,5.28,overcast clouds
234,Ayolas,PY,-27.4,-56.9,9.22,81,0,2.21,clear sky
235,Labuhan,ID,-6.8844,112.2051,30.89,60,6,2.89,clear sky
236,Stromness,GB,58.965,-3.296,7.98,92,100,4.47,overcast clouds
237,Torzhok,RU,57.0436,34.9622,4.5,84,100,0.7,overcast clouds
238,Japura,ID,-0.3167,102.35,29.93,73,100,0.49,overcast clouds
239,Kolobrzeg,PL,54.1757,15.5834,8.42,85,100,4.09,overcast clouds
240,Phayuha Khiri,TH,15.4553,100.1353,40.54,22,8,2.12,clear sky
241,Ribeira Grande,PT,38.5167,-28.7,15.22,82,40,7.72,scattered clouds
242,Taltal,CL,-25.4,-70.4833,15.29,83,5,1.85,clear sky
243,Sampit,ID,-2.5333,112.95,27.99,88,93,1.44,overcast clouds
244,Hiriyur,IN,13.9456,76.6192,35.16,26,99,3.21,overcast clouds
245,Barra Patuca,HN,15.8,-84.2833,24.99,83,32,3.16,scattered clouds
246,Urucara,BR,-2.5364,-57.76,23.09,99,100,0.27,overcast clouds
247,Grand Gaube,MU,-20.0064,57.6608,28.54,70,0,5.36,clear sky
248,Berlevag,NO,70.8578,29.0864,-0.11,79,22,4.86,few clouds
249,Menzelinsk,RU,55.7271,53.1026,5.84,87,100,6.47,overcast clouds
250,Tomatlan,MX,19.9333,-105.25,19.35,80,100,0.48,overcast clouds
251,Vilhena,BR,-12.7406,-60.1458,18.32,99,100,1.81,overcast clouds
252,Nemuro,JP,43.3236,145.575,1.41,91,100,4.67,overcast clouds
253,Basar,IN,27.9833,94.6667,19.98,97,100,0.13,overcast clouds
254,Vyazma,RU,55.2104,34.2951,8.09,63,98,2.53,overcast clouds
255,Maneromango,TZ,-7.1988,38.7848,24.15,90,100,2.66,light rain
256,Banda Aceh,ID,5.5577,95.3222,30.39,66,95,3.44,overcast clouds
257,Kaitangata,NZ,-46.2817,169.8464,12.52,69,8,2.16,clear sky
258,Uberlandia,BR,-18.9186,-48.2772,19.56,88,0,4.12,clear sky
259,Anadyr,RU,64.75,177.4833,1.28,86,75,11.0,broken clouds
260,Crotone,IT,39.0851,17.1178,17.88,100,0,3.6,clear sky
261,Oranjestad,AW,12.524,-70.027,26.97,78,40,8.23,scattered clouds
262,Saint-Louis,SN,16.3333,-15.0,20.8,42,50,4.76,scattered clouds
263,Ilhabela,BR,-23.7781,-45.3581,20.16,75,98,4.53,overcast clouds
264,Port Shepstone,ZA,-30.7414,30.455,22.76,81,97,3.99,overcast clouds
265,Katihar,IN,25.5333,87.5833,42.36,7,0,7.21,clear sky
266,Tynda,RU,55.1667,124.7167,2.67,66,100,5.0,light rain
267,Tuatapere,NZ,-46.1333,167.6833,12.97,80,91,2.13,overcast clouds
268,Baykit,RU,61.67,96.37,4.74,92,100,1.39,overcast clouds
269,Jertih,MY,5.7336,102.4897,31.17,64,100,3.01,overcast clouds
270,Codrington,AU,-38.2667,141.9667,17.33,91,100,3.11,overcast clouds
271,Tommot,RU,58.9564,126.2925,2.55,66,100,4.07,overcast clouds
272,Westport,US,41.1415,-73.3579,13.63,49,100,3.13,overcast clouds
273,Loukhi,RU,66.0764,33.0381,-1.46,85,66,1.95,broken clouds
274,Chaiyaphum,TH,15.75,102.0,39.75,22,14,4.16,few clouds
275,Kropotkin,RU,45.4375,40.5756,9.02,87,91,6.41,overcast clouds
276,Prince Rupert,CA,54.3161,-130.3201,5.83,48,0,3.6,clear sky
277,Nospelt,LU,49.6753,6.0089,12.23,89,0,4.12,clear sky
278,Thinadhoo,MV,0.5333,72.9333,28.85,64,68,1.79,broken clouds
279,Ferme-Neuve,CA,46.7001,-75.4493,3.41,77,99,3.13,overcast clouds
280,Vestnes,NO,62.6264,7.0884,6.55,60,16,3.09,few clouds
281,Bauchi,NG,10.5,10.0,28.15,53,100,2.35,overcast clouds
282,Camacha,PT,33.0833,-16.3333,14.68,72,75,5.66,broken clouds
283,Chicama,PE,-7.8447,-79.1469,16.3,87,76,2.59,light rain
284,Paoua,CF,7.2427,16.4406,28.45,44,100,1.99,overcast clouds
285,Chiredzi,ZW,-21.05,31.6667,27.85,56,90,1.16,overcast clouds
286,Bilibino,RU,68.0546,166.4372,-6.02,89,15,2.39,few clouds
287,Mitu,CO,1.1983,-70.1733,21.92,98,100,1.06,moderate rain
288,Jijiga,ET,9.35,42.8,24.73,50,40,5.96,scattered clouds
289,Umm Kaddadah,SD,13.6017,26.6876,31.26,5,100,9.26,overcast clouds
290,Namanyere,TZ,-7.5167,31.05,18.12,91,100,2.02,overcast clouds
291,Balkhash,KZ,46.844,74.9804,22.34,13,0,7.0,clear sky
292,Tateyama,JP,34.9833,139.8667,12.96,88,75,4.12,mist
293,Emerald,AU,-23.5333,148.1667,30.08,20,0,3.6,clear sky
294,Canillo,AD,42.5833,1.6667,7.39,77,97,1.92,overcast clouds
295,Saint-Joseph,RE,-21.3667,55.6167,29.21,77,37,6.12,scattered clouds
296,Guinticgan,PH,11.5641,123.1236,28.39,70,92,1.13,overcast clouds
297,Puerto Penasco,MX,31.3167,-113.5333,19.89,41,3,1.39,clear sky
298,Lavrentiya,RU,65.5833,-171.0,-0.45,95,99,5.04,overcast clouds
299,Talnakh,RU,69.4865,88.3972,2.34,89,100,8.79,light rain
300,Barranca,PE,-10.75,-77.7667,18.35,89,47,3.39,scattered clouds
301,Los Llanos De Aridane,ES,28.6585,-17.9182,15.86,74,75,6.17,broken clouds
302,Kyra,RU,49.5776,111.9753,10.26,24,21,10.26,few clouds
303,Mirnyy,RU,62.5353,113.9611,-2.09,50,100,4.02,overcast clouds
304,Airai,TL,-8.9266,125.4092,20.39,83,98,1.01,light rain
305,Chuy,UY,-33.6971,-53.4616,13.96,73,69,3.13,broken clouds
306,Mahajanga,MG,-15.7167,46.3167,29.55,60,0,7.4,clear sky
307,Eyl,SO,7.9803,49.8164,31.22,60,78,4.51,broken clouds
308,Zabol,AF,32.25,67.25,23.44,7,0,2.76,clear sky
309,Lompoc,US,34.6391,-120.4579,11.43,87,40,10.73,mist
310,Kiama,AU,-34.6833,150.8667,23.71,74,64,1.34,broken clouds
311,Isangel,VU,-19.55,169.2667,27.06,89,32,1.54,scattered clouds
312,Kilifi,KE,-3.6305,39.8499,30.14,66,83,6.33,broken clouds
313,Korla,CN,41.7597,86.1469,19.8,11,36,2.84,scattered clouds
314,Bantry,IE,51.6833,-9.45,10.99,94,100,3.28,overcast clouds
315,Iberia,US,29.9502,-91.7507,21.98,95,0,3.34,clear sky
316,Mocajuba,BR,-2.5842,-49.5072,22.67,99,100,0.73,overcast clouds
317,Kasempa,ZM,-13.4584,25.8338,22.07,76,93,4.18,overcast clouds
318,Mount Gambier,AU,-37.8333,140.7667,17.95,94,100,2.57,overcast clouds
319,Moussoro,TD,13.6408,16.4901,32.4,20,14,5.47,few clouds
320,Bairiki,KI,1.3292,172.9752,28.0,83,20,2.57,few clouds
321,Egvekinot,RU,66.3167,-179.1667,-5.78,92,100,6.05,overcast clouds
322,Margate,GB,51.3813,1.3862,12.15,92,100,0.45,overcast clouds
323,Huittinen,FI,61.1833,22.7,3.1,82,97,3.79,overcast clouds
324,Puerto Suarez,BO,-18.95,-57.8,17.02,65,0,1.92,clear sky
325,Geraldton,AU,-28.7667,114.6,30.23,37,0,5.66,clear sky
326,Havoysund,NO,70.9963,24.6622,3.13,99,100,9.75,overcast clouds
327,Warri,NG,5.5167,5.75,25.27,91,100,0.8,overcast clouds
328,Okhotsk,RU,59.3833,143.3,-1.83,65,26,1.95,scattered clouds
329,Igrim,RU,63.1906,64.4162,2.18,68,100,0.69,overcast clouds
330,Xuddur,SO,4.1213,43.8894,30.32,49,100,4.58,overcast clouds
331,Hare Bay,CA,48.8499,-54.0148,-3.36,86,46,1.41,scattered clouds
332,Kilindoni,TZ,-7.9139,39.6668,27.68,80,100,4.92,moderate rain
333,Lazaro Cardenas,MX,17.9583,-102.2,22.65,80,100,0.62,overcast clouds
334,Port Hardy,CA,50.6996,-127.4199,7.0,80,20,2.57,few clouds
335,Viedma,AR,-40.8135,-62.9967,12.85,64,0,5.88,clear sky
336,Longyearbyen,SJ,78.2186,15.6401,-5.09,74,75,3.6,broken clouds
337,Ironton,US,38.5368,-82.6829,9.65,60,1,2.35,clear sky
338,Coahuayana,MX,18.7333,-103.6833,21.15,67,100,1.01,overcast clouds
339,Sungaipenuh,ID,-2.0833,101.3833,23.95,77,100,1.75,overcast clouds
340,Bilma,NE,18.6853,12.9164,31.86,8,20,4.5,few clouds
341,Yele,CM,10.7323,13.5891,25.41,54,100,2.7,overcast clouds
342,Kahului,US,20.8947,-156.47,23.8,84,49,1.34,scattered clouds
343,Fort-Shevchenko,KZ,44.5086,50.263,11.65,58,2,4.22,clear sky
344,Portel,BR,-1.9356,-50.8211,23.02,98,100,1.14,overcast clouds
