City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,San Pedro,PH,2022-04-12 16:50:27,14.35,121.0167,27.57,82,75,1.54
248,Pinehurst,US,2022-04-12 16:47:31,35.1954,-79.4695,26.61,40,20,6.69
249,Grindavik,IS,2022-04-12 16:50:27,63.8424,-22.4338,9.97,66,75,5.14
250,Mount Isa,AU,2022-04-12 16:50:28,-20.7333,139.5,23.87,41,9,0.0
251,Marsa Matruh,EG,2022-04-12 16:50:28,31.3525,27.2453,17.11,48,0,6.17
252,Ketchikan,US,2022-04-12 16:50:28,55.3422,-131.6461,4.26,26,0,1.54
253,Belyy Yar,RU,2022-04-12 16:50:28,53.6039,91.3903,-0.06,76,75,0.0
254,Sibu,MY,2022-04-12 16:50:29,2.3,111.8167,25.17,94,40,0.0
255,Houma,US,2022-04-12 16:50:29,29.5958,-90.7195,25.0,81,100,4.02
256,Americus,US,2022-04-12 16:50:29,32.0724,-84.2327,26.07,41,0,2.06
257,Maldonado,UY,2022-04-12 16:50:30,-34.6667,-54.9167,20.66,38,6,4.78
258,Champerico,GT,2022-04-12 16:50:30,14.3,-91.9167,33.3,54,93,3.8
259,Wuning,CN,2022-04-12 16:50:30,29.2589,120.2311,20.76,81,44,2.25
260,Chardara,KZ,2022-04-12 16:50:31,41.2547,67.9692,19.59,56,6,3.82
261,Pangnirtung,CA,2022-04-12 16:50:31,66.1451,-65.7125,-11.0,73,75,2.06
262,Sabzevar,IR,2022-04-12 16:50:31,36.2126,57.6819,21.6,23,0,0.0
263,Broome,US,2022-04-12 16:50:32,42.2506,-75.833,16.68,59,40,5.66
264,Ust-Maya,RU,2022-04-12 16:50:32,60.4167,134.5333,-14.95,98,93,1.23
265,Yerbogachen,RU,2022-04-12 16:50:32,61.2767,108.0108,-10.18,97,20,0.78
266,Kirkwall,GB,2022-04-12 16:50:33,58.9848,-2.9587,8.03,81,75,7.2
267,Manali,IN,2022-04-12 16:50:33,13.1667,80.2667,30.05,84,9,3.61
268,Porto Velho,BR,2022-04-12 16:50:33,-8.7619,-63.9039,28.03,78,75,2.57
269,Astana,KZ,2022-04-12 16:50:57,51.1801,71.446,10.97,32,40,9.0
270,Dingle,PH,2022-04-12 16:51:34,10.9995,122.6711,22.54,93,100,1.32
271,Tazovskiy,RU,2022-04-12 16:51:34,67.4667,78.7,1.64,99,100,7.28
272,Isla Mujeres,MX,2022-04-12 16:51:34,21.2311,-86.731,27.19,71,53,8.16
273,Kloulklubed,PW,2022-04-12 16:51:35,7.0419,134.2556,28.26,78,92,8.8
274,Bonthe,SL,2022-04-12 16:51:35,7.5264,-12.505,28.61,73,92,5.84
275,Beeskow,DE,2022-04-12 16:51:35,52.1667,14.25,15.12,37,79,1.79
276,Tebingtinggi,ID,2022-04-12 16:51:36,3.3285,99.1625,24.3,93,80,1.62
277,Port Hardy,CA,2022-04-12 16:51:36,50.6996,-127.4199,6.0,81,40,3.09
278,Durango,MX,2022-04-12 16:49:39,24.8333,-104.8333,22.4,17,0,8.71
279,Gisborne,NZ,2022-04-12 16:47:35,-38.6533,178.0042,16.62,97,100,8.59
280,Lagoa,PT,2022-04-12 16:50:56,39.05,-27.9833,15.87,84,97,9.72
281,Sambava,MG,2022-04-12 16:51:36,-14.2667,50.1667,25.19,86,7,5.87
282,Mildura,AU,2022-04-12 16:51:37,-34.2,142.15,12.98,47,91,3.09
283,Tilichiki,RU,2022-04-12 16:51:37,60.4667,166.1,-14.08,94,100,5.37
284,Nkoteng,CM,2022-04-12 16:51:37,4.5167,12.0333,28.23,56,95,1.7
285,Turukhansk,RU,2022-04-12 16:51:38,65.8167,87.9833,-0.62,98,100,6.64
286,Colares,PT,2022-04-12 16:51:38,38.7992,-9.4469,18.52,65,40,6.71
287,Kununurra,AU,2022-04-12 16:51:39,-15.7667,128.7333,23.99,94,75,11.83
288,Rio Grande,BR,2022-04-12 16:51:39,-32.035,-52.0986,27.06,76,32,6.84
289,Krasnoselkup,RU,2022-04-12 16:51:39,65.7,82.4667,0.97,98,100,6.79
290,Lasa,IT,2022-04-12 16:51:39,46.6166,10.7002,16.49,88,71,1.09
